iter	MultiClass
0	0.9962737265
1	0.9199790017
2	0.8566924194
3	0.8064709274
4	0.7623662474
5	0.7251337465
6	0.6958198813
7	0.6688375758
8	0.6442375837
9	0.6234569674
10	0.60543527
11	0.5904733103
12	0.5778428586
13	0.5656771358
14	0.5550909074
15	0.5458302661
16	0.5375240551
17	0.5298726909
18	0.5236239178
19	0.5175652481
20	0.5127773188
21	0.5082064955
22	0.5036452409
23	0.4994529576
24	0.4959530131
25	0.4926662345
26	0.4895122654
27	0.4870378196
28	0.4843816407
29	0.4820326943
30	0.4798869388
31	0.4778690801
32	0.4762533368
33	0.4746992444
34	0.4730723264
35	0.4713689164
36	0.4701475829
37	0.4689607394
38	0.4681545173
39	0.4669091287
40	0.4662010179
41	0.4651574591
42	0.4640469228
43	0.4635204262
44	0.4625488651
45	0.4620505753
46	0.4614746675
47	0.4609683614
48	0.4602495755
49	0.4596505969
50	0.4590994741
51	0.4584609877
52	0.4578629061
53	0.4572753799
54	0.4563355691
55	0.4560048705
56	0.4555844295
57	0.4551862213
58	0.4546396353
59	0.4542748301
60	0.4536988584
61	0.4533068156
62	0.4529628607
63	0.4525467732
64	0.4521316218
65	0.4517350004
66	0.4512888851
67	0.4507940096
68	0.4502237009
69	0.4498857528
70	0.4496060477
71	0.4493513416
72	0.4489186937
73	0.4483929457
74	0.4479584023
75	0.4476808929
76	0.447382961
77	0.4470050768
78	0.4466426011
79	0.4463285982
80	0.4460933135
81	0.4459008678
82	0.4455469217
83	0.4453146347
84	0.4449844403
85	0.4445489788
86	0.4441993174
87	0.4439871362
88	0.4436718204
89	0.443433714
90	0.4431171319
91	0.4428225868
92	0.4425235354
93	0.4424332751
94	0.4422395134
95	0.4419687825
96	0.4418100884
97	0.4416836843
98	0.4413326911
99	0.441136983
100	0.4409565241
101	0.4407491766
102	0.4405860265
103	0.4403628213
104	0.4400492124
105	0.4398819941
106	0.4396683629
107	0.4394054373
108	0.4392280523
109	0.4391072291
110	0.4386964872
111	0.4384278011
112	0.4381178667
113	0.4380081069
114	0.4377113262
115	0.4373937746
116	0.4372267903
117	0.4369752643
118	0.4368365651
119	0.4364653886
120	0.436221122
121	0.4360550872
122	0.4358006492
123	0.4357139722
124	0.43548019
125	0.4353612369
126	0.4352044757
127	0.4350493338
128	0.4349178823
129	0.4347629103
130	0.434639066
131	0.4344018838
132	0.4341483117
133	0.4339591391
134	0.4337284356
135	0.4335382763
136	0.4334456343
137	0.4331662331
138	0.4329108854
139	0.4327403269
140	0.4324888969
141	0.4323527295
142	0.4321761168
143	0.4320468026
144	0.4318287687
145	0.4316673372
146	0.4314688371
147	0.4313584815
148	0.4312221149
149	0.4311727797
150	0.430929459
151	0.4307068394
152	0.4306101358
153	0.4305610159
154	0.4304033043
155	0.4302895765
156	0.4301236782
157	0.4299114214
158	0.4297371711
159	0.4296281939
160	0.429429583
161	0.4293201397
162	0.4292057172
163	0.4290529701
164	0.4288769526
165	0.4287060325
166	0.4285192517
167	0.4284272437
168	0.4281234628
169	0.4280091838
170	0.4278484293
171	0.4276690894
172	0.4275176704
173	0.4273619196
174	0.4270914361
175	0.4268532818
176	0.4268135821
177	0.4266105317
178	0.4264527784
179	0.4260676883
180	0.4259122759
181	0.425733277
182	0.4256034821
183	0.4255082346
184	0.4254014067
185	0.4251905654
186	0.4250859499
187	0.4248557247
188	0.4246984288
189	0.4244394348
190	0.4242873264
191	0.42419844
192	0.4240471868
193	0.4238994965
194	0.4237815136
195	0.4236671981
196	0.423546952
197	0.423358891
198	0.4231045274
199	0.4229671411
200	0.4228276373
201	0.4226756734
202	0.4225611125
203	0.4224080726
204	0.4222751273
205	0.4221189981
206	0.4218721963
207	0.4217987568
208	0.4217355724
209	0.421621281
210	0.4215066766
211	0.4213412486
212	0.4212601246
213	0.4211985993
214	0.4210874312
215	0.4209328737
216	0.4206860598
217	0.4205584466
218	0.4203121443
219	0.4201869519
220	0.4201180133
221	0.4200209696
222	0.4198099675
223	0.4196564079
224	0.4193922068
225	0.41932615
226	0.4191468712
227	0.4190573323
228	0.4190003624
229	0.4189573394
230	0.4188328665
231	0.4187255404
232	0.4185492114
233	0.4183818941
234	0.418154298
235	0.4180135369
236	0.4179246583
237	0.4178989523
238	0.4178143714
239	0.4176860455
240	0.4175016782
241	0.4173188243
242	0.4172380487
243	0.4171745133
244	0.4170099031
245	0.4169156533
246	0.4166795563
247	0.4166189565
248	0.416501786
249	0.4164822269
250	0.416386064
251	0.4163252754
252	0.416198812
253	0.4160532195
254	0.4159782233
255	0.4158108346
256	0.4157144549
257	0.4156683407
258	0.4155567842
259	0.4154324471
260	0.4153192676
261	0.415195594
262	0.415081311
263	0.4149486716
264	0.4147154283
265	0.4146259763
266	0.4145410053
267	0.4143952779
268	0.4143149195
269	0.414230064
270	0.4140832142
271	0.4139412626
272	0.4138327118
273	0.4137652424
274	0.413567944
275	0.4134728547
276	0.4132551657
277	0.4131268473
278	0.4130074185
279	0.4129487605
280	0.4127871307
281	0.4127110008
282	0.4126254071
283	0.4125052871
284	0.4124155066
285	0.412198581
286	0.4121353644
287	0.4120335911
288	0.4119867277
289	0.4119138392
290	0.4118435929
291	0.411729861
292	0.4115949033
293	0.4114553706
294	0.4113352744
295	0.4112941173
296	0.4111822776
297	0.4110536653
298	0.4109322623
299	0.4108298792
300	0.4107450232
301	0.4106825243
302	0.4105596663
303	0.4104850912
304	0.4104371409
305	0.4102859069
306	0.4102039346
307	0.4100941745
308	0.4100441156
309	0.4100031602
310	0.4099417474
311	0.4098539231
312	0.4097165188
313	0.4095787005
314	0.4094621725
315	0.409373997
316	0.4093041954
317	0.4091188891
318	0.4089947455
319	0.4087878831
320	0.4087193482
321	0.4085302738
322	0.4084133681
323	0.4083335245
324	0.4082707573
325	0.4082220587
326	0.408137066
327	0.4080415505
328	0.4078823576
329	0.4077764
330	0.4076908309
331	0.4075906702
332	0.4074972475
333	0.4074306244
334	0.4073722117
335	0.4072704608
336	0.4071954625
337	0.407005832
338	0.4068364747
339	0.4067108679
340	0.4066153155
341	0.4065253953
342	0.4063730687
343	0.4062736058
344	0.4062092563
345	0.4060995264
346	0.4059446438
347	0.4058301699
348	0.4057015049
349	0.4056466352
350	0.4055216305
351	0.4054568168
352	0.4052719714
353	0.4051604978
354	0.4050866241
355	0.4050270565
356	0.4049548576
357	0.4047362556
358	0.4046684682
359	0.4046003729
360	0.4045249498
361	0.4044221172
362	0.4043534098
363	0.4042410229
364	0.4041698765
365	0.4041160564
366	0.4039814673
367	0.4039224749
368	0.4038313005
369	0.403771164
370	0.4035881589
371	0.4035247003
372	0.4033930803
373	0.4033644698
374	0.4032816824
375	0.4032230589
376	0.4030903597
377	0.4030155344
378	0.4028964003
379	0.4028088022
380	0.4026132053
381	0.4024231423
382	0.4022316776
383	0.4021680322
384	0.4019985775
385	0.401904156
386	0.401745372
387	0.4016573188
388	0.4015967391
389	0.4014680178
390	0.4013828626
391	0.4012411803
392	0.4012063351
393	0.4011259286
394	0.4010238273
395	0.4008943367
396	0.4007117707
397	0.4006836276
398	0.4005742651
399	0.400528372
400	0.4004363863
401	0.4004021338
402	0.4002656134
403	0.4001682003
404	0.4001204966
405	0.3999736756
406	0.3998609108
407	0.3998186541
408	0.39976311
409	0.3996696957
410	0.3995294355
411	0.3994132521
412	0.3993202052
413	0.3992856459
414	0.3991228167
415	0.3990351235
416	0.3989871853
417	0.3989484678
418	0.3988741296
419	0.3987901348
420	0.3987280327
421	0.3986115971
422	0.398525831
423	0.3983264079
424	0.3982664278
425	0.3981986483
426	0.3981228048
427	0.3980673749
428	0.3980115756
429	0.3979701677
430	0.3978021777
431	0.3976502211
432	0.3975047994
433	0.3973444555
434	0.3972627822
435	0.397192631
436	0.3970772034
437	0.3970319755
438	0.3968943645
439	0.3967846216
440	0.3966798509
441	0.3966194048
442	0.3965730921
443	0.3964971316
444	0.3964285245
445	0.396282212
446	0.3962215629
447	0.3961405694
448	0.3960615677
449	0.3960055102
450	0.3959609335
451	0.3958539875
452	0.3956864021
453	0.3956300031
454	0.3955928401
455	0.3954340469
456	0.3952956231
457	0.3952585188
458	0.3951034911
459	0.3950459331
460	0.3950045694
461	0.3949374192
462	0.3948513877
463	0.3947878386
464	0.3946914195
465	0.3946216519
466	0.3945562991
467	0.3944681034
468	0.394409065
469	0.3943464109
470	0.3942852287
471	0.3941910148
472	0.3940090987
473	0.3939397223
474	0.3938820495
475	0.3937217408
476	0.3936006805
477	0.3935125282
478	0.3933944469
479	0.3933311966
480	0.3932256864
481	0.3931447141
482	0.3929913784
483	0.3928942987
484	0.3928135948
485	0.3927343102
486	0.3927015616
487	0.3925918579
488	0.3924462274
489	0.3923189448
490	0.3922396976
491	0.3921727997
492	0.3921286875
493	0.3920399353
494	0.3919038962
495	0.3918517737
496	0.3917805841
497	0.3916716937
498	0.3915941493
499	0.3914825407
500	0.3914084754
501	0.3911824125
502	0.3910830207
503	0.391036545
504	0.3909552498
505	0.3908652652
506	0.3907718214
507	0.3906651959
508	0.3905739038
509	0.3904369529
510	0.3903762102
511	0.3903226566
512	0.3901871018
513	0.3901126706
514	0.3900604481
515	0.3899249493
516	0.3898515233
517	0.3896953161
518	0.3895969933
519	0.3894291987
520	0.3893764873
521	0.3893266017
522	0.3892256968
523	0.3891558781
524	0.3891045717
525	0.3889972592
526	0.3888566037
527	0.3888022026
528	0.3887091668
529	0.3885988563
530	0.3885369831
531	0.3884374587
532	0.3883820338
533	0.3883588158
534	0.3882238755
535	0.3881227825
536	0.388052849
537	0.3879212103
538	0.3878549665
539	0.3878015585
540	0.3876560633
541	0.3875428031
542	0.3874555581
543	0.3873582154
544	0.3873380703
545	0.3872732216
546	0.3871717784
547	0.3870505205
548	0.3869994348
549	0.3869503672
550	0.3869143505
551	0.386867568
552	0.3867206182
553	0.3866137116
554	0.386557319
555	0.3863998043
556	0.3863448913
557	0.3862418232
558	0.3861620612
559	0.3860679955
560	0.3858807101
561	0.3857881109
562	0.3857035201
563	0.3855899042
564	0.3854595809
565	0.3853616652
