iter	Passed	Remaining
0	67	67379
1	147	73801
2	236	78704
3	390	97307
4	538	107158
5	673	111615
6	837	118779
7	957	118731
8	1031	113551
9	1107	109657
10	1213	109078
11	1292	106385
12	1398	106178
13	1465	103206
14	1537	100969
15	1616	99439
16	1705	98631
17	1801	98307
18	1878	97004
19	1970	96567
20	2068	96438
21	2159	96007
22	2269	96411
23	2349	95536
24	2454	95716
25	2548	95484
26	2662	95942
27	2769	96157
28	2867	96005
29	3008	97290
30	3116	97416
31	3227	97628
32	3323	97389
33	3389	96295
34	3504	96623
35	3664	98119
36	3785	98537
37	3847	97400
38	3928	96807
39	4016	96393
40	4103	95992
41	4241	96753
42	4362	97094
43	4462	96952
44	4610	97840
45	4780	99142
46	4916	99696
47	4999	99154
48	5183	100608
49	5293	100576
50	5389	100289
51	5444	99265
52	5519	98613
53	5596	98041
54	5700	97949
55	5798	97742
56	5909	97767
57	6034	98008
58	6115	97532
59	6201	97153
60	6303	97031
61	6370	96376
62	6424	95544
63	6492	94947
64	6549	94211
65	6591	93278
66	6639	92460
67	6685	91627
68	6754	91141
69	6799	90330
70	6853	89677
71	6909	89051
72	6961	88404
73	7021	87861
74	7100	87577
75	7155	87001
76	7202	86341
77	7241	85601
78	7280	84882
79	7317	84145
80	7348	83376
81	7377	82597
82	7410	81871
83	7455	81304
84	7538	81148
85	7623	81022
86	7754	81381
87	7914	82026
88	8024	82137
89	8147	82384
90	8194	81851
91	8308	82002
92	8414	82063
93	8531	82226
94	8632	82238
95	8719	82107
96	8804	81962
97	8900	81925
98	9023	82121
99	9170	82531
100	9353	83255
101	9470	83373
102	9527	82970
103	9749	83995
104	9928	84629
105	10005	84386
106	10098	84283
107	10207	84304
108	10378	84833
109	10537	85254
110	10670	85462
111	10763	85339
112	10856	85219
113	10942	85046
114	11060	85117
115	11246	85704
116	11376	85856
117	11478	85796
118	11569	85655
119	11665	85549
120	11731	85223
121	11803	84947
122	11866	84609
123	11906	84116
124	11982	83875
125	12029	83440
126	12094	83137
127	12129	82629
128	12158	82094
129	12194	81610
130	12241	81204
131	12354	81237
132	12456	81202
133	12512	80865
134	12548	80401
135	12597	80030
136	12656	79729
137	12738	79571
138	12802	79304
139	12873	79077
140	12958	78943
141	13046	78827
142	13136	78725
143	13229	78641
144	13331	78612
145	13432	78568
146	13516	78433
147	13596	78272
148	13656	77998
149	13710	77694
150	13813	77663
151	13926	77693
152	14047	77765
153	14104	77484
154	14208	77457
155	14436	78104
156	14599	78390
157	14867	79232
158	15059	79652
159	15148	79531
160	15246	79452
161	15334	79324
162	15447	79323
163	15530	79167
164	15647	79187
165	15830	79534
166	15923	79424
167	16006	79268
168	16126	79294
169	16273	79452
170	16393	79476
171	16457	79224
172	16561	79169
173	16639	78989
174	16767	79048
175	16919	79214
176	16992	79011
177	17113	79031
178	17190	78846
179	17263	78643
180	17335	78441
181	17415	78271
182	17489	78082
183	17554	77851
184	17667	77831
185	17806	77926
186	17931	77956
187	18037	77905
188	18111	77716
189	18194	77567
190	18291	77473
191	18374	77325
192	18448	77141
193	18529	76982
194	18602	76795
195	18684	76643
196	18733	76361
197	18854	76369
198	19069	76758
199	19273	77093
200	19386	77061
201	19478	76951
202	19588	76905
203	19714	76924
204	19802	76793
205	20010	77127
206	20182	77317
207	20287	77249
208	20498	77580
209	20671	77764
210	20782	77714
211	20841	77466
212	20900	77225
213	20949	76946
214	20993	76651
215	21068	76471
216	21122	76216
217	21162	75912
218	21215	75659
219	21297	75510
220	21351	75260
221	21409	75028
222	21480	74844
223	21533	74598
224	21589	74362
225	21641	74116
226	21718	73957
227	21777	73737
228	21813	73442
229	21856	73171
230	21916	72960
231	21965	72712
232	22037	72544
233	22088	72308
234	22155	72124
235	22210	71901
236	22287	71751
237	22360	71592
238	22421	71391
239	22492	71227
240	22541	70992
241	22624	70863
242	22671	70626
243	22730	70427
244	22791	70235
245	22855	70054
246	22951	69968
247	23018	69797
248	23082	69618
249	23156	69469
250	23304	69541
251	23382	69404
252	23449	69235
253	23558	69191
254	23751	69390
255	23871	69376
256	23973	69307
257	24013	69062
258	24115	68994
259	24258	69042
260	24378	69026
261	24464	68912
262	24525	68727
263	24593	68563
264	24697	68501
265	24768	68346
266	24809	68110
267	24855	67888
268	24913	67702
269	24947	67450
270	24987	67217
271	25023	66973
272	25053	66717
273	25092	66485
274	25217	66482
275	25274	66299
276	25316	66077
277	25350	65839
278	25378	65584
279	25405	65327
280	25443	65103
281	25484	64886
